date,new_cases,total_cases,new_deaths,total_deaths,new_recoveries,total_recoveries,total_active,total_quarantine,total_nadzor,location
2020-03-03,0,0,0,0,0,0,0,316,4459,Polska
2020-03-04,1,1,0,0,0,0,0,349,4540,Polska
2020-03-05,0,1,0,0,0,0,0,490,5647,Polska
2020-03-06,4,5,0,0,0,0,0,1299,6184,Polska
2020-03-07,1,6,0,0,0,0,0,1548,6409,Polska
2020-03-08,5,11,0,0,0,0,0,932,7122,Polska
2020-03-09,6,17,0,0,0,0,0,1014,7110,Polska
2020-03-10,5,22,0,0,0,0,0,1055,9366,Polska
2020-03-11,9,31,0,0,0,0,0,1193,11524,Polska
2020-03-12,20,51,1,1,0,0,0,2736,14841,Polska
2020-03-13,17,68,1,2,0,0,0,3151,17784,Polska
2020-03-14,35,103,1,3,0,0,0,4413,20340,Polska
2020-03-15,21,124,0,3,0,0,0,7535,25816,Polska
2020-03-16,52,176,1,4,0,0,0,10050,30129,Polska
2020-03-17,61,237,1,5,0,0,0,14531,35853,Polska
2020-03-18,48,285,0,5,0,0,0,21993,40110,Polska
2020-03-19,68,353,0,5,0,0,0,28440,48660,Polska
2020-03-20,70,423,0,5,0,0,0,47115,53117,Polska
2020-03-21,111,534,0,5,0,0,0,54814,56623,Polska
2020-03-22,99,633,2,7,0,0,0,48632,58826,Polska
2020-03-23,115,748,1,8,0,0,0,55301,51142,Polska
2020-03-24,152,900,2,10,0,0,0,62511,53426,Polska
2020-03-25,151,1051,3,13,0,0,0,70528,56930,Polska
2020-03-26,170,1221,3,16,0,0,0,83908,59081,Polska
2020-03-27,168,1389,0,16,0,0,0,94297,58306,Polska
2020-03-28,249,1638,2,18,0,0,0,97413,56585,Polska
2020-03-29,224,1862,4,22,0,0,0,100215,52612,Polska
2020-03-30,193,2055,9,31,0,0,0,106525,52370,Polska
2020-03-31,256,2311,2,33,0,0,0,171994,50804,Polska
2020-04-01,243,2554,10,43,0,0,0,183095,48039,Polska
2020-04-02,392,2946,14,57,0,0,0,174997,44491,Polska
2020-04-03,437,3383,14,71,116,116,3196,160587,41146,Polska
2020-04-04,244,3627,8,79,18,134,3414,131888,39157,Polska
2020-04-05,475,4102,15,94,28,162,3846,143256,37295,Polska
2020-04-06,311,4413,9,103,29,191,4119,148130,36 391,Polska
2020-04-07,435,4848,26,129,31,222,4497,153390,33 273,Polska
2020-04-08,356,5204,29,158,62,284,4762,152898,33 989,Polska
2020-04-09,370,5574,16,174,34,318,5082,158663,33 879,Polska
2020-04-10,380,5954,7,181,57,375,5398,166973,31 370,Polska
2020-04-11,401,6355,27,208,64,439,5708,162974,30 982,Polska
2020-04-12,318,6673,23,231,48,487,5955,151548,29 571,Polska
2020-04-13,260,6933,13,244,131,618,6071,144875,28 665,Polska
2020-04-14,269,7202,18,262,50,668,6272,145875,28 084,Polska
2020-04-15,380,7582,22,284,106,774,6524,142220,25 923,Polska
2020-04-16,336,7918,28,312,92,866,6740,138004,25 773,Polska
2020-04-17,461,8379,18,330,115,981,7068,118361,25 273,Polska
2020-04-18,363,8742,15,345,59,1040,7357,124311,17 436,Polska
2020-04-19,545,9287,13,358,93,1133,7796,111079,17 266,Polska
2020-04-20,306,9593,20,378,164,1297,7918,105602,21 364,Polska
2020-04-21,263,9856,20,398,216,1513,7945,98020,22 731,Polska
2020-04-22,313,10169,25,423,227,1740,8006,103129,21 781,Polska
2020-04-23,342,10511,28,451,204,1944,8116,97905,20 546,Polska
2020-04-24,381,10892,40,491,182,2126,8275,87003,19 653,Polska
2020-04-25,381,11273,30,521,139,2265,8487,79656,19 116,Polska
2020-04-26,344,11617,12,533,201,2466,8618,78878,18 693,Polska
2020-04-27,285,11902,27,560,189,2655,8687,82643,18394,Polska
2020-04-28,316,12218,34,594,370,3025,8599,85837,18 016,Polska
2020-04-29,422,12640,28,622,211,3236,8782,88265,18 874,Polska
2020-04-30,237,12877,20,642,255,3491,8744,92458,18 433,Polska
2020-05-01,228,13105,7,649,271,3762,8694,95625,18 383,Polska
2020-05-02,270,13375,12,661,183,3945,8769,96612,18 306,Polska
2020-05-03,318,13693,15,676,150,4095,8922,96699,17785,Polska
2020-05-04,313,14006,19,695,185,4280,9031,100765,17 291,Polska
2020-05-05,425,14431,19,714,375,4655,9062,101395,17 081,Polska
2020-05-06,309,14740,18,732,207,4862,9146,103913,16 765,Polska
2020-05-07,307,15047,22,754,322,5184,9109,104024,17 540,Polska
2020-05-08,319,15366,20,774,253,5437,9155,102996,17 155,Polska
2020-05-09,285,15651,9,783,261,5698,9170,100784,17 225,Polska
2020-05-10,345,15996,15,798,118,5816,9382,97002,17 051,Polska
2020-05-11,330,16326,11,809,315,6131,9386,96211,17771,Polska
2020-05-12,595,16921,28,837,279,6410,9674,96062,18 009,Polska
2020-05-13,283,17204,23,860,286,6696,9648,96708,18 256,Polska
2020-05-14,411,17615,22,882,222,6918,9815,95068,18 363,Polska
2020-05-15,401,18016,24,906,257,7175,9935,90386,18 355,Polska
2020-05-16,241,18257,8,914,276,7451,9892,84542,18 195,Polska
2020-05-17,272,18529,10,924,177,7628,9977,80947,18 772,Polska
2020-05-18,356,18885,11,935,275,7903,10047,76645,18 831,Polska
2020-05-19,383,19268,12,947,280,8183,10138,76957,18 984,Polska
2020-05-20,471,19739,14,961,269,8452,10326,77461,19 729,Polska
2020-05-21,404,20143,10,971,279,8731,10441,77768,19 500,Polska
2020-05-22,476,20619,10,981,246,8977,10661,80635,19 836,Polska
2020-05-23,312,20931,11,992,217,9194,10745,79326,19 529,Polska
2020-05-24,395,21326,3,995,82,9276,11055,78259,19 587,Polska
2020-05-25,305,21631,11,1006,744,10020,10605,78864,19 139,Polska
2020-05-26,443,22074,17,1023,310,10330,10721,79007,19 682,Polska
2020-05-27,399,22473,4,1027,230,10560,10886,79818,19 373,Polska
2020-05-28,352,22825,10,1037,132,10692,11096,79995,18 224,Polska
2020-05-29,330,23155,13,1050,324,11016,11089,80182,19 161,Polska
2020-05-30,416,23571,10,1060,255,11271,11240,78823,18 947,Polska
2020-05-31,215,23786,3,1063,178,11449,11274,77406,18 859,Polska
2020-06-01,379,24165,10,1073,277,11726,11366,78470,18 692,Polska
2020-06-02,230,24395,18,1091,288,12014,11290,78691,18 642,Polska
2020-06-03,292,24687,23,1114,213,12227,11346,79341,18 721,Polska
2020-06-04,361,25048,2,1116,183,12410,11522,81244,19 274,Polska
2020-06-05,362,25410,20,1136,231,12641,11633,81820,19 994,Polska
2020-06-06,576,25986,14,1150,214,12855,11981,82759,20 079,Polska
2020-06-07,575,26561,4,1154,143,12998,12409,82921,19 703,Polska
2020-06-08,599,27160,9,1163,198,13196,12801,84913,19 496,Polska
2020-06-09,400,27560,19,1182,215,13411,12967,86002,19 336,Polska
2020-06-10,282,27842,23,1205,285,13696,12941,88074,18 234,Polska
2020-06-11,359,28201,9,1214,109,13805,13182,89609,19 072,Polska
2020-06-12,376,28577,7,1221,299,14104,13252,92654,18 904,Polska
2020-06-13,440,29017,15,1236,122,14226,13555,93094,18 666,Polska
2020-06-14,375,29392,10,1246,157,14383,13763,94518,17 966,Polska
2020-06-15,396,29788,9,1255,271,14654,13879,95641,17 261,Polska
2020-06-16,407,30195,16,1271,267,14921,14003,96255,17 195,Polska
2020-06-17,506,30701,14,1285,396,15317,14099,93722,17 354,Polska
2020-06-18,314,31015,30,1315,381,15698,14002,97215,18 866,Polska
2020-06-19,301,31316,18,1333,483,16181,13802,96181,18 611,Polska
2020-06-20,304,31620,12,1345,502,16683,13592,94585,18 619,Polska
2020-06-21,311,31931,10,1355,393,17076,13500,93830,18 572,Polska
2020-06-22,296,32227,3,1358,497,17573,13296,93890,18 025,Polska
2020-06-23,300,32527,16,1374,561,18134,13019,92992,16 574,Polska
2020-06-24,294,32821,21,1395,520,18654,12772,92409,17 139,Polska
2020-06-25,298,33119,16,1411,564,19218,12490,91461,16 728,Polska
2020-06-26,276,33395,17,1428,754,19972,11995,89294,16 568,Polska
2020-06-27,319,33714,6,1434,576,20548,11732,85603,15 211,Polska
2020-06-28,193,33907,4,1438,349,20897,11572,83460,14 469,Polska
2020-06-29,247,34154,6,1444,384,21281,11429,83499,13 987,Polska
2020-06-30,239,34393,19,1463,510,21791,11139,83033,13 919,Polska
2020-07-01,382,34775,14,1477,418,22209,11089,83521,13 941,Polska
2020-07-02,371,35146,15,1492,442,22651,11003,84790,13 478,Polska
2020-07-03,259,35405,14,1506,476,23127,10772,84560,13 280,Polska
2020-07-04,314,35719,5,1511,619,23746,10462,83813,12 508,Polska
2020-07-05,231,35950,5,1516,220,23966,10468,83767,12 118,Polska
2020-07-06,205,36155,4,1520,272,24238,10397,85327,11 780,Polska
2020-07-07,257,36412,7,1527,640,24878,10007,84363,11 547,Polska
2020-07-08,277,36689,15,1542,599,25477,9670,85955,10 889,Polska
2020-07-09,262,36951,9,1551,571,26048,9352,86712,10 565,Polska
2020-07-10,265,37216,11,1562,587,26635,9019,86915,10 045,Polska
2020-07-11,305,37521,6,1568,513,27148,8805,86168,9 789,Polska
2020-07-12,370,37891,3,1571,367,27515,8805,85610,9 138,Polska
2020-07-13,299,38190,5,1576,241,27756,8858,86747,9 473,Polska
2020-07-14,267,38457,12,1588,736,28492,8377,87698,9 684,Polska
2020-07-15,264,38721,6,1594,436,28928,8199,90496,9 778,Polska
2020-07-16,333,39054,10,1604,577,29505,7945,86073,9 627,Polska
2020-07-17,353,39407,7,1611,419,29924,7872,92008,9 715,Polska
2020-07-18,339,39746,6,1617,368,30292,7837,89956,9 665,Polska
2020-07-19,358,40104,6,1623,247,30539,7942,89822,9 557,Polska
2020-07-20,279,40383,4,1627,232,30771,7985,90767,9 356,Polska
2020-07-21,399,40782,9,1636,368,31139,8007,90961,9 846,Polska
2020-07-22,380,41162,6,1642,402,31541,7979,92577,8 907,Polska
2020-07-23,418,41580,9,1651,456,31997,7932,93815,7 472,Polska
2020-07-24,458,42038,4,1655,422,32419,7964,94164,7 411,Polska
2020-07-25,584,42622,9,1664,334,32753,8205,93311,7 418,Polska
2020-07-26,443,43065,7,1671,103,32856,8538,92803,7 394,Polska
2020-07-27,337,43402,5,1676,187,33043,8683,94920,7 245,Polska
2020-07-28,502,43904,6,1682,147,33190,9032,95453,6 222,Polska
2020-07-29,512,44416,12,1694,453,33643,9079,97561,8 094,Polska
2020-07-30,615,45031,15,1709,344,33987,9335,97189,8 069,Polska
2020-07-31,657,45688,7,1716,387,34374,9598,98282,8 241,Polska
2020-08-01,658,46346,5,1721,335,34709,9916,96425,8 523,Polska
2020-08-02,548,46894,10,1731,172,34881,10282,95794,8 272,Polska
2020-08-03,575,47469,1,1732,175,35056,10681,98875,8 499,Polska
2020-08-04,680,48149,6,1738,265,35321,11090,100151,9 044,Polska
2020-08-05,640,48789,18,1756,321,35642,11391,102815,9 052,Polska
2020-08-06,726,49515,18,1774,399,36041,11700,104923,9 237,Polska
2020-08-07,809,50324,13,1787,362,36403,12134,107229,9 256,Polska
2020-08-08,843,51167,13,1800,288,36691,12676,105795,9 227,Polska
2020-08-09,624,51791,7,1807,186,36877,13107,104167,9 566,Polska
2020-08-10,619,52410,2,1809,273,37150,13451,105427,9 230,Polska
2020-08-11,551,52961,12,1821,461,37611,13529,106915,9 490,Polska
2020-08-12,715,53676,9,1830,350,37961,13885,108677,9 413,Polska
2020-08-13,811,54487,13,1843,401,38362,14282,108309,9 660,Polska
2020-08-14,832,55319,15,1858,491,38853,14608,107395,9 606,Polska
2020-08-15,771,56090,11,1869,277,39130,15091,103805,9 477,Polska
2020-08-16,594,56684,8,1877,229,39359,15448,102970,9 305,Polska
2020-08-17,595,57279,8,1885,284,39643,15751,103236,8 920,Polska
2020-08-18,597,57876,11,1896,456,40099,15881,103621,8 813,Polska
2020-08-19,735,58611,17,1913,382,40481,16217,103961,9 034,Polska
2020-08-20,767,59378,12,1925,548,41029,16424,103351,8 902,Polska
2020-08-21,903,60281,13,1938,632,41661,16682,103876,8 899,Polska
2020-08-22,900,61181,13,1951,522,42183,17047,100066,7 892,Polska
2020-08-23,581,61762,4,1955,265,42448,17359,98233,8 894,Polska
2020-08-24,548,62310,5,1960,336,42784,17566,100023,8 544,Polska
2020-08-25,763,63073,17,1977,615,43399,17697,99705,8 947,Polska
2020-08-26,729,63802,17,1994,698,44097,17711,101678,8 984,Polska
2020-08-27,887,64689,15,2009,688,44785,17895,101547,8 893,Polska
2020-08-28,791,65480,9,2018,751,45536,17926,100845,8 817,Polska
2020-08-29,759,66239,14,2032,656,46192,18015,98576,8 555,Polska
2020-08-30,631,66870,1,2033,446,46638,18199,96351,8 397,Polska
2020-08-31,502,67372,6,2039,392,47030,18303,96888,7 929,Polska
2020-09-01,550,67922,19,2058,835,47865,17999,96664,8 145,Polska
2020-09-02,595,68517,20,2078,728,48593,17846,98341,8 070,Polska
2020-09-03,612,69129,14,2092,1227,49820,17217,71311,7 610,Polska
2020-09-04,691,69820,8,2100,2526,52346,15374,71452,7 090,Polska
2020-09-05,567,70387,13,2113,1910,54256,14018,70788,7 112,Polska
2020-09-06,437,70824,7,2120,857,55113,13591,72285,7 097,Polska
2020-09-07,302,71126,3,2123,797,55910,13093,76047,7 010,Polska
2020-09-08,400,71526,12,2135,1225,57135,12256,79124,7 160,Polska
2020-09-09,421,71947,11,2146,934,58069,11732,83170,7 408,Polska
2020-09-10,506,72453,12,2158,779,58848,11447,86892,7 090,Polska
2020-09-11,594,73047,10,2168,877,59725,11154,90216,7 343,Polska
2020-09-12,603,73650,13,2181,934,60659,10810,91819,7 229,Polska
2020-09-13,502,74152,6,2187,438,61097,10868,92057,6 972,Polska
2020-09-14,377,74529,15,2202,451,61548,10779,95241,6 934,Polska
2020-09-15,605,75134,24,2226,562,62110,10798,94273,8 062,Polska
2020-09-16,600,75734,10,2236,615,62725,10773,103425,9 331,Polska
2020-09-17,837,76571,16,2252,587,63312,11007,111530,10 102,Polska
2020-09-18,757,77328,17,2269,549,63861,11198,118864,11494,Polska
2020-09-19,1002,78330,12,2281,441,64302,11747,118212,11751,Polska
2020-09-20,910,79240,11,2292,302,64604,12344,116871,11956,Polska
2020-09-21,748,79988,5,2297,368,64972,12719,115789,11849,Polska
2020-09-22,711,80699,18,2315,589,65561,12823,114000,9962,Polska
2020-09-23,974,81673,28,2343,597,66158,13172,125220,11089,Polska
2020-09-24,1136,82809,25,2368,582,66740,13701,137023,12937,Polska
2020-09-25,1587,84396,23,2391,586,67326,14679,143442,13894,Polska
2020-09-26,1584,85980,32,2423,578,67904,15653,139460,16368,Polska
2020-09-27,1350,87330,8,2431,516,68420,16479,136128,16647,Polska
2020-09-28,1306,88636,15,2446,535,68955,17235,134588,14660,Polska
2020-09-29,1326,89962,36,2482,740,69695,17785,129961,15619,Polska
2020-09-30,1552,91514,30,2512,706,70401,18601,133981,16891,Polska
2020-10-01,1967,93481,30,2542,952,71353,19586,139056,20876,Polska
2020-10-02,2292,95773,27,2569,856,72209,20995,158038,21464,Polska
2020-10-03,2367,98140,34,2603,794,73003,22534,150565,22003,Polska
2020-10-04,1934,100074,26,2629,549,73552,23893,154365,21375,Polska
2020-10-05,2006,102080,29,2658,606,74158,25264,159530,19933,Polska
2020-10-06,2236,104316,58,2716,1188,75346,26254,145873,21289,Polska
2020-10-07,3003,107319,75,2791,1144,76490,28038,171251,22747,Polska
2020-10-08,4280,111599,76,2867,1385,77875,30857,188629,26716,Polska
2020-10-09,4739,116338,52,2919,1107,78982,34437,206048,31863,Polska
2020-10-10,5300,121638,53,2972,1320,80302,38364,231032,32394,Polska
2020-10-11,4178,125816,32,3004,899,81201,41611,250132,35094,Polska
2020-10-12,4394,130210,35,3039,803,82004,45167,212446,33533,Polska
2020-10-13,5068,135278,63,3102,1843,83847,48329,249349,33071,Polska
2020-10-14,6526,141804,116,3218,1741,85588,52998,296020,36066,Polska
2020-10-15,8099,149903,91,3309,2185,87773,58821,311625,41498,Polska
2020-10-16,7705,157608,132,3441,4574,90162,64005,327507,45605,Polska
2020-10-17,9622,167230,84,3525,2489,92651,71054,320482,45909,Polska
2020-10-18,8536,175766,49,3574,1363,94014,78178,304567,46864,Polska
2020-10-19,7482,183248,41,3615,1942,95956,83677,289447,44675,Polska
2020-10-20,9291,192539,107,3722,2928,98884,89933,335060,42688,Polska
2020-10-21,10040,202579,130,3851,3320,102204,96524,378348,47314,Polska
2020-10-22,12107,214686,168,4019,2888,105092,105575,398851,52753,Polska
2020-10-23,13632,228318,153,4172,4252,109344,114802,478761,57802,Polska
2020-10-24,13628,241946,179,4315,3275,112619,125012,446154,49174,Polska
2020-10-25,11742,253688,87,4438,2683,115302,133948,445991,54268,Polska
2020-10-26,10241,263929,45,4483,3935,119237,140209,442109,54440,Polska
2020-10-27,16300,280229,132,4615,4267,123504,152110,479288,47242,Polska
2020-10-28,18820,299049,236,4849,5763,129267,164933,489079,48977,Polska
2020-10-29,20156,319205,301,5149,5457,134724,179332,496213,49503,Polska
2020-10-30,21629,340834,202,5351,5556,140280,195203,504706,48928,Polska
2020-10-31,21897,362731,280,5631,6315,146595,210505,439159,48301,Polska
2020-11-01,17171,379902,152,5783,7818,154413,219706,435343,46844,Polska
2020-11-02,15578,395480,92,5875,5573,159986,229619,421582,46697,Polska
2020-11-03,19364,414844,227,6102,8974,168960,239782,408121,43549,Polska
2020-11-04,24692,439536,373,6475,8721,177681,255380,430732,42689,Polska
2020-11-05,27143,466679,367,6842,10994,188675,271162,433524,42562,Polska
2020-11-06,27086,493765,445,7287,11835,200510,285968,441832,52655,Polska
2020-11-07,27875,521640,349,7636,8853,209363,304641,407579,42921,Polska
2020-11-08,24785,546425,236,7872,10008,219371,319182,376567,41403,Polska
2020-11-09,21713,568138,173,8045,11290,230661,329432,407486,37655,Polska
2020-11-10,25484,593592,330,8375,12214,242875,342342,431104,36263,Polska
2020-11-11,25221,618813,430,8805,11474,254349,355659,404352,27706,Polska
2020-11-12,22683,641496,275,9080,13231,267580,364836,430310,30420,Polska
2020-11-13,24051,665547,419,9499,14635,282215,373833,440025,30625,Polska
2020-11-14,25571,691118,548,10045,12568,294783,386290,409322,29920,Polska
2020-11-15,21854,712972,303,10348,11239,306022,396602,422767,28528,Polska
2020-11-16,20816,733788,143,10491,18260,324282,399015,415174,25618,Polska
2020-11-17,19152,752940,357,10848,18601,342883,399209,415601,25663,Polska
2020-11-18,19 883,772823,603,11451,19003,361886,399486,434034,24717,Polska
2020-11-19,23975,796798,637,12088,19914,381 800,402910,408567,23153,Polska
2020-11-20,22464,819262,626,12714,25275,407075,399473,391837,22982,Polska
2020-11-21,24213,843475,574,13 288,16896,423971,406216,356130,22156,Polska
2020-11-22,17856,861331,330,13 618,14897,438868,408845,362959,21290,Polska
2020-11-23,15002,876333,156,13 774,15849,454717,407842,334331,19671,Polska
