OBJECTID,Data,LICZBA_ZAKAZEN,LICZBA_ZGONOW,ZGONY_KOBIETY,ZGONY_MEZCZYZNI,ZGONY0_10,ZGONY11_20,ZGONY21_30,ZGONY31_40,ZGONY41_50,ZGONY51_60,ZGONY61_70,ZGONY71_80,ZGONY81_,ZAKAZENIA_DZIENNE,ZGONY_DZIENNE,LICZBA_OZDROWIENCOW,date
85,1608795000000,1240002,26807,243,309,0,0,2,10,14,40,127,151,208,13114,552,0,2020-12-24
86,1608881400000,1248924,27051,102,142,0,0,0,1,8,19,64,70,82,9077,244,0,2020-12-25
87,1608967800000,1253956,27119,34,34,0,0,0,1,2,3,8,19,35,5048,68,0,2020-12-26
88,1609097400000,1257582,27175,22,34,0,0,0,0,1,3,12,15,25,3678,56,0,2020-12-27
89,1609140600000,1260762,27203,9,18,0,0,0,0,1,1,5,10,10,3211,27,0,2020-12-28
90,1609227000000,1268634,27515,126,185,0,1,1,4,7,21,62,94,121,7914,311,0,2020-12-29
91,1609314300000,1281414,28019,240,325,0,0,1,6,8,42,139,172,197,12955,565,0,2020-12-30
92,1609401360000,1294878,28554,221,311,0,0,2,5,7,34,126,148,210,13397,532,1026746,2020-12-31
93,1609492500000,1305774,28956,176,224,0,0,0,1,9,29,100,108,153,11008,400,1040024,2021-01-01
94,1609570920000,1312780,29058,47,55,0,1,0,0,3,7,18,31,42,6945,102,1051751,2021-01-02
95,1609657320000,1318562,29119,22,38,0,0,0,0,0,4,15,21,21,5739,61,1059521,2021-01-03
96,1609743720000,1322947,29161,16,26,0,0,0,0,0,2,10,14,16,4432,42,1064780,2021-01-04
97,1609830120000,1330543,29502,142,199,0,0,2,1,1,24,78,96,139,7624,341,1069435,2021-01-05
98,1609969500000,1344763,30055,239,313,0,0,1,6,15,25,129,167,210,14151,553,1073214,2021-01-06
99,1610002920000,1356882,30241,79,106,0,0,0,1,3,11,44,65,62,12054,186,1080961,2021-01-07
100,1610091240000,1365645,30574,128,204,0,0,0,2,4,20,71,104,131,8790,332,1093450,2021-01-08
101,1610175720000,1376389,31011,197,241,0,0,0,0,12,20,80,125,201,10548,438,1106177,2021-01-09
102,1610262120000,1385522,31189,79,98,0,0,0,0,1,14,31,61,70,9410,177,1115677,2021-01-10
103,1610348520000,1390385,31264,35,40,0,0,0,1,2,3,15,27,27,4622,75,1122540,2021-01-11
104,1610434860000,1395779,31593,144,182,0,0,0,3,11,18,79,95,120,5569,326,1129123,2021-01-12
105,1610521260000,1404905,32074,222,258,0,0,1,3,5,16,109,134,213,9053,481,1133661,2021-01-13
106,1610607660000,1414362,32456,159,222,0,0,0,5,9,21,91,108,147,9436,381,1141838,2021-01-14
107,1610703000000,1422320,32844,173,212,0,0,2,2,7,23,88,122,142,7795,386,1154673,2021-01-15
108,1610789340000,1429612,33213,163,205,0,0,2,3,8,20,73,109,154,7412,369,1166114,2021-01-16
109,1610875800000,1435582,33355,61,81,0,0,0,2,2,7,34,38,59,6055,142,1173623,2021-01-17
110,1610962200000,1438914,33407,21,31,0,0,0,1,0,4,9,15,23,3271,52,1184273,2021-01-18
111,1611048600000,1443804,33698,141,150,0,1,0,2,7,12,60,93,116,4835,291,1193594,2021-01-19
112,1611135000000,1450747,34141,203,239,0,0,0,2,9,29,79,153,171,6919,443,1197931,2021-01-20
113,1611221400000,1457755,34561,167,251,0,0,1,5,12,19,82,141,159,7152,419,1204210,2021-01-21
114,1611307800000,1464448,34908,154,191,0,0,1,3,6,17,73,94,152,6640,346,1213012,2021-01-22
115,1611394200000,1470879,35253,160,186,0,0,0,2,8,25,75,123,113,6322,346,1222782,2021-01-23
116,1611480600000,1475445,35363,51,59,0,1,0,1,4,8,25,36,35,4683,110,1230446,2021-01-24
117,1611567000000,1478119,35401,9,29,0,0,0,0,0,4,4,19,11,2419,38,1237736,2021-01-25
118,1611653400000,1482722,35665,118,145,0,0,1,0,3,16,53,77,114,4604,264,1243575,2021-01-26
119,1611739800000,1489512,36054,179,210,1,0,2,0,7,17,86,109,167,6789,389,1246267,2021-01-27
120,1611826200000,1496665,36443,172,216,0,0,0,3,4,15,80,117,170,7156,389,1250892,2021-01-28
121,1611912600000,1502810,36780,149,187,0,0,0,1,6,17,84,99,129,6144,336,1257352,2021-01-29
122,1611999000000,1508674,37082,129,174,0,0,0,2,1,15,64,92,129,5864,303,1264574,2021-01-30
123,1612085400000,1513385,37180,44,54,0,0,0,1,2,6,25,28,36,4706,98,1270467,2021-01-31
124,1612171800000,1515889,37222,22,20,0,0,0,0,1,2,8,8,23,2503,42,1276636,2021-02-01
125,1612258200000,1520215,37476,107,146,0,0,0,1,8,13,55,92,84,4326,253,1281396,2021-02-02
126,1612344600000,1527016,37897,193,228,0,0,0,7,9,14,97,133,161,6802,421,1283698,2021-02-03
127,1612431000000,1533511,38344,182,262,1,0,1,9,6,34,108,130,155,6496,444,1288163,2021-02-04
128,1612517400000,1539564,38712,154,214,0,0,2,2,16,17,69,129,133,6053,368,1294687,2021-02-05
129,1612603800000,1545530,38994,131,151,0,0,1,3,6,26,55,86,106,6026,367,1301571,2021-02-06
130,1612690200000,1550255,39087,37,56,0,0,0,1,2,3,24,24,39,4728,93,1307161,2021-02-07
131,1612776600000,1552686,39132,22,23,0,0,0,1,0,4,6,14,20,2431,45,1312856,2021-02-08
132,1612863000000,1556685,39360,95,132,0,0,0,1,4,18,42,77,85,4029,227,1317474,2021-02-09
133,1612949400000,1563645,39721,126,234,0,0,1,2,5,19,90,111,132,6930,360,1319635,2021-02-10
134,1613035800000,1570658,40177,212,244,0,0,1,4,7,26,101,126,191,7008,456,1324101,2021-02-11
135,1613122200000,1577036,40424,108,139,0,0,1,3,6,16,52,86,83,6379,247,1330127,2021-02-12
136,1613208600000,1583621,40709,114,169,0,0,2,0,3,14,65,92,108,6586,284,1336467,2021-02-13
137,1613295000000,1588955,40807,35,63,0,0,0,0,2,10,24,27,35,5334,98,1342031,2021-02-14
138,1613381400000,1591497,40832,13,12,0,0,0,0,1,1,6,5,12,2543,25,1347670,2021-02-15
139,1613467812514,1596673,41028,86,110,0,0,1,0,6,8,39,61,81,5178,196,1352443,2021-02-16
140,1613554214094,1605372,41308,111,168,0,0,0,2,8,14,62,78,115,8694,279,1354598,2021-02-17
141,1613640614424,1614446,41582,133,140,0,0,0,2,4,16,56,87,108,9073,273,1358666,2021-02-18
142,1613727022208,1623218,41823,114,127,0,0,1,2,3,16,56,72,91,8777,241,1365216,2021-02-19
143,1613813418684,1631727,42077,107,147,0,0,1,3,7,20,42,75,106,8510,254,1372326,2021-02-20
144,1613899817241,1638767,42171,34,60,0,0,1,0,3,4,19,36,31,7038,94,1378414,2021-02-21
145,1613986218597,1642658,42188,8,9,0,0,0,0,0,2,8,2,5,3890,17,1384373,2021-02-22
146,1614072621243,1648962,42436,100,147,0,0,0,3,6,14,57,79,88,6310,247,1389516,2021-02-23
147,1614159019154,1661109,42808,173,199,0,1,1,5,4,21,71,116,153,12146,372,1391981,2021-02-24
148,1614245421129,1673252,43094,139,147,0,0,1,1,5,5,65,98,111,12142,286,1397342,2021-02-25
149,1614331821510,1684788,43353,117,142,0,0,1,3,3,10,71,79,92,11539,259,1405552,2021-02-26
150,1614418218997,1696885,43656,142,161,1,0,0,3,4,16,63,90,126,12100,303,1414461,2021-02-27
151,1614504617605,1706986,43769,55,59,0,0,0,0,2,9,27,40,36,10099,114,1422829,2021-02-28
152,1614591017870,1711772,43793,12,12,0,0,0,0,0,3,6,6,9,4786,24,1430861,2021-03-01
153,1614677417411,1719708,44008,103,112,1,0,1,0,3,10,55,57,89,7937,216,1438032,2021-03-02
154,1614763820222,1735406,44360,150,159,0,0,0,1,10,12,59,104,123,15698,309,1441479,2021-03-03
155,1614850220304,1750659,44649,123,166,0,0,0,1,8,20,64,81,115,15250,289,1448619,2021-03-04
156,1614936620071,1766490,44912,117,145,0,0,0,1,5,17,54,97,89,15829,263,1459564,2021-03-05
157,1615023017654,1781345,45159,99,145,0,0,1,0,4,7,68,78,87,14857,245,1471608,2021-03-06
158,1615109417661,1794914,45285,49,77,0,0,1,1,2,10,29,37,46,13574,126,1482568,2021-03-07
159,1615195820385,1801083,45317,17,15,0,0,0,0,0,1,10,11,10,6170,32,1494083,2021-03-08
160,1615282223820,1811036,45599,121,161,1,1,1,5,6,14,70,92,92,9954,282,1503353,2021-03-09
161,1615368621712,1828313,45997,175,223,0,0,1,2,13,16,99,117,150,17260,398,1507905,2021-03-10
162,1615455027768,1849424,46373,167,208,0,0,0,7,7,23,88,129,121,21045,375,1516540,2021-03-11
163,1615541420926,1868297,46724,161,189,0,0,0,4,10,26,81,106,124,18775,351,1530484,2021-03-12
164,1615627821074,1889360,47068,151,192,0,0,1,4,9,23,84,93,129,21049,343,1546151,2021-03-13
165,1615714219844,1906632,47178,53,57,0,0,0,2,4,10,23,32,39,17259,110,1560227,2021-03-14
166,1615800600000,1917527,47206,13,15,0,0,0,1,2,1,9,6,9,10896,28,1574455,2021-03-15
167,1615887056473,1931921,47578,174,198,0,0,1,0,11,28,92,111,129,14396,372,1587164,2021-03-16
168,1615973420311,1956974,48032,203,249,0,0,2,7,8,21,122,136,157,25052,453,1593165,2021-03-17
169,1616059819612,1984248,48388,167,189,0,0,1,4,10,22,90,105,124,27278,356,1603832,2021-03-18
170,1616146219690,2010244,48807,197,220,0,1,2,5,13,27,87,137,147,25998,419,1620272,2021-03-19
171,1616232620335,2036700,49159,168,179,0,1,1,6,5,23,75,108,130,26405,349,1640050,2021-03-20
172,1616319025393,2058550,49300,66,74,0,0,0,0,4,12,28,48,48,21849,140,1656827,2021-03-21
173,1616405421517,2073129,49365,28,37,0,0,1,2,3,3,12,18,26,14578,65,1676008,2021-03-22
174,1616491818889,2089869,49761,154,242,0,0,2,6,7,26,86,126,143,16741,396,1693875,2021-03-23
175,1616578211002,2120671,50340,251,324,0,0,1,0,15,47,169,176,167,29978,575,1707846,2021-03-24
176,1616664620017,2154821,50860,229,291,0,0,0,5,13,33,133,158,178,34151,520,1722856,2021-03-25
178,1616751000000,2189966,51305,202,241,0,0,0,2,9,33,112,144,143,35143,443,1747223,2021-03-26
179,1616833800000,2221725,51753,211,237,0,0,0,3,4,30,114,148,149,31757,448,1775068,2021-03-27
180,1616920214415,2250991,51884,60,71,0,1,0,1,3,5,37,39,45,29253,131,1798922,2021-03-28
181,1617006612536,2267964,51932,22,26,0,0,0,0,0,4,11,16,17,16965,48,1824431,2021-03-29
182,1617093010833,2288826,52392,209,251,0,0,1,5,16,23,123,145,148,20870,461,1848199,2021-03-30
183,1617179410059,2321717,53045,305,347,1,1,3,10,17,61,179,182,199,32874,653,1861925,2021-03-31
184,1617265806153,2356970,53665,272,349,0,0,1,11,18,43,171,194,183,35251,621,1882179,2021-04-01
185,1617352216004,2387511,54165,225,272,0,0,0,2,19,41,144,142,149,30546,497,1911249,2021-04-02
186,1617438617531,2415584,54737,249,322,0,0,1,4,11,39,180,187,149,28073,571,1945994,2021-04-03
187,1617525015674,2438542,54941,76,128,0,1,2,3,9,16,43,69,61,22947,204,1978433,2021-04-04
188,1617611419120,2448463,55005,20,44,0,0,1,0,2,5,14,25,17,9902,64,2009308,2021-04-05
189,1617697818188,2456709,55065,25,35,0,0,0,0,3,5,18,19,15,8245,60,2036577,2021-04-06
190,1617784211961,2471617,55703,281,356,0,0,3,5,24,36,167,199,204,14910,638,2054697,2021-04-07
191,1617870617588,2499507,56659,406,548,0,0,1,6,27,79,258,290,293,27887,954,2076504,2021-04-08
192,1617957019671,2528006,57427,342,424,0,0,0,10,22,46,222,238,230,28487,768,2107776,2021-04-09
193,1618043416462,2552898,58176,308,440,0,2,2,10,13,46,210,254,212,24856,749,2143065,2021-04-10
194,1618129818056,2574631,58421,113,132,0,0,2,6,6,21,75,63,72,21703,245,2171301,2021-04-11
195,1618216218442,2586647,58481,35,25,0,0,1,0,1,4,17,22,16,12013,61,2197782,2021-04-12
196,1618302620763,2599850,59126,301,342,0,0,1,6,16,51,183,194,193,13227,644,2219655,2021-04-13
197,1618389022861,2621116,59930,353,450,1,0,3,4,20,62,222,244,247,21283,803,2229801,2021-04-14
198,1618475413955,2642242,60612,287,394,0,1,1,3,22,38,189,224,204,21130,682,2238638,2021-04-15
199,1618561817912,2660088,61208,252,343,0,0,0,8,17,49,159,177,185,17847,595,2255232,2021-04-16
200,1618648218648,2675874,61825,266,349,0,0,2,2,9,38,186,181,198,15763,616,2285221,2021-04-17
201,1618734615025,2688025,62032,95,112,0,0,1,1,3,10,54,63,75,12153,207,2311145,2021-04-18
202,1618821014777,2695327,62133,50,51,0,0,1,1,2,12,25,28,32,7283,101,2334978,2021-04-19
203,1618907408612,2704571,62734,234,365,0,0,2,8,24,38,180,190,159,9246,601,2354652,2021-04-20
204,1618993814486,2718493,63473,327,413,0,1,2,11,25,53,227,222,199,13926,740,2366230,2021-04-21
205,1619080204132,2731256,64168,288,406,0,0,2,7,23,51,191,204,216,12762,694,2380787,2021-04-22
206,1619166606510,2742122,64707,238,299,0,0,2,6,14,41,153,149,174,10858,539,2401457,2021-04-23
207,1619253006190,2751632,65222,222,291,0,0,0,3,19,35,153,150,153,9505,513,2422659,2021-04-24
208,1619339405404,2758856,65415,78,115,1,0,1,1,8,9,57,64,52,7219,193,2439412,2021-04-25
209,1619425809043,2762323,65437,11,11,0,0,0,0,1,3,8,4,6,3451,22,2455005,2021-04-26
210,1619512207852,2768034,65897,203,256,0,0,1,6,12,39,105,139,158,5709,460,2467036,2021-04-27
211,1619598606481,2776927,66533,271,364,0,0,1,10,22,58,177,194,174,8895,636,2473974,2021-04-28
212,1619685005436,2785353,67073,245,296,0,0,1,2,21,41,161,176,139,8427,541,2483780,2021-04-29
213,1619771410448,2792142,67502,171,255,0,0,3,4,4,25,114,160,119,6796,429,2496810,2021-04-30
214,1619857800000,2798617,67924,189,233,0,0,1,4,11,26,127,135,119,6469,423,2510858,2021-05-01
215,1619944205191,2803233,68068,68,76,0,0,0,0,1,10,42,49,42,4612,144,2520968,2021-05-02
216,1620030613512,2805756,68105,19,18,0,0,0,0,1,5,12,10,9,2525,37,2529844,2021-05-03
217,1620117006458,2808052,68133,14,14,0,0,0,0,0,3,10,5,10,2296,28,2536931,2021-05-04
218,1620203411294,2811951,68482,157,192,0,1,2,4,6,23,88,107,118,3896,349,2540684,2021-05-05
219,1620289805254,2818378,68993,225,282,1,1,0,5,17,36,145,142,163,6431,510,2546751,2021-05-06
